N,k,Global_Accuracy,Metric,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
4000,20,0.8469333333333333,L1,0.8873333333333333,0.9546666666666667,0.777,0.8733333333333333,0.7673333333333333,0.8546666666666667,0.5286666666666666,0.9406666666666667,0.9333333333333333,0.9523333333333334
4500,1,0.8532,L1,0.8172,0.9808,0.7524,0.8684,0.7252,0.9072,0.612,0.958,0.9596,0.9512
4500,2,0.85004,L1,0.914,0.9832,0.8544,0.8592,0.6696,0.9352,0.4476,0.9704,0.9396,0.9272
4500,5,0.86072,L1,0.8728,0.9744,0.7904,0.8864,0.7608,0.884,0.5656,0.96,0.954,0.9588
4500,10,0.85876,L1,0.8816,0.97,0.7952,0.8856,0.7632,0.8756,0.5528,0.9632,0.9476,0.9528
4500,15,0.85424,L1,0.8736,0.9648,0.7828,0.8852,0.7604,0.8608,0.5568,0.9544,0.9452,0.9584
4500,20,0.85124,L1,0.8768,0.9632,0.7708,0.8872,0.7628,0.8544,0.5452,0.954,0.9424,0.9556
5000,1,0.85245,L1,0.8345,0.976,0.7655,0.8395,0.7385,0.914,0.602,0.935,0.951,0.9685
5000,2,0.8493,L1,0.9245,0.9795,0.85,0.8425,0.674,0.944,0.445,0.9585,0.9335,0.9415
5000,5,0.8624,L1,0.888,0.974,0.8005,0.868,0.766,0.8935,0.57,0.9485,0.9425,0.973
5000,10,0.85855,L1,0.8985,0.97,0.801,0.868,0.762,0.8875,0.5405,0.954,0.939,0.965
5000,15,0.85405,L1,0.894,0.9665,0.784,0.8725,0.7635,0.867,0.5505,0.9405,0.935,0.967
5000,20,0.8517,L1,0.8935,0.964,0.7785,0.869,0.7685,0.869,0.5385,0.939,0.931,0.966
5500,1,0.8598666666666667,L1,0.848,0.9766666666666667,0.7853333333333333,0.8466666666666667,0.7466666666666667,0.9146666666666666,0.6133333333333333,0.9466666666666667,0.9653333333333334,0.9553333333333334
5500,2,0.8575333333333334,L1,0.9346666666666666,0.9786666666666667,0.8593333333333333,0.858,0.708,0.9386666666666666,0.458,0.964,0.9453333333333334,0.9306666666666666
5500,5,0.8678666666666667,L1,0.89,0.972,0.822,0.87,0.7846666666666666,0.9013333333333333,0.5726666666666667,0.9473333333333334,0.9533333333333334,0.9653333333333334
5500,10,0.8634666666666667,L1,0.8966666666666666,0.968,0.824,0.8753333333333333,0.774,0.8826666666666667,0.552,0.952,0.9526666666666667,0.9573333333333334
5500,15,0.8590666666666666,L1,0.8926666666666667,0.9626666666666667,0.816,0.872,0.7726666666666666,0.866,0.5526666666666666,0.9426666666666667,0.9486666666666667,0.9646666666666667
5500,20,0.8563333333333333,L1,0.89,0.9613333333333334,0.8026666666666666,0.8733333333333333,0.7673333333333333,0.8653333333333333,0.5506666666666666,0.94,0.95,0.9626666666666667
6000,1,0.8548,L1,0.824,0.977,0.777,0.84,0.749,0.907,0.607,0.942,0.962,0.963
6000,2,0.8498,L1,0.917,0.981,0.857,0.847,0.678,0.932,0.441,0.972,0.943,0.93
6000,5,0.862,L1,0.878,0.973,0.804,0.867,0.78,0.893,0.556,0.951,0.952,0.966
