N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
5000,20,0.84405,0.8775,0.956,0.7795,0.8655,0.768,0.786,0.5655,0.945,0.9325,0.965
5500,1,0.854,0.8233333333333334,0.9746666666666667,0.7693333333333333,0.8706666666666667,0.7513333333333333,0.86,0.6153333333333333,0.9513333333333334,0.954,0.97
5500,2,0.8495333333333334,0.9086666666666666,0.976,0.846,0.8626666666666667,0.706,0.898,0.4633333333333333,0.9626666666666667,0.928,0.944
5500,5,0.8575333333333334,0.88,0.9606666666666667,0.808,0.8786666666666667,0.7826666666666666,0.8233333333333334,0.5846666666666667,0.944,0.946,0.9673333333333334
5500,10,0.8543333333333333,0.8853333333333333,0.9633333333333334,0.8106666666666666,0.8773333333333333,0.7766666666666666,0.806,0.566,0.9513333333333334,0.9433333333333334,0.9633333333333334
5500,15,0.848,0.8773333333333333,0.9586666666666667,0.792,0.8726666666666667,0.78,0.7813333333333333,0.5726666666666667,0.938,0.9393333333333334,0.968
5500,20,0.8440666666666666,0.8793333333333333,0.954,0.7813333333333333,0.874,0.774,0.7773333333333333,0.562,0.9386666666666666,0.936,0.964
6000,1,0.8567,0.831,0.978,0.77,0.875,0.758,0.861,0.618,0.95,0.955,0.971
6000,2,0.853,0.907,0.978,0.844,0.866,0.726,0.896,0.473,0.961,0.937,0.942
6000,5,0.8589,0.874,0.965,0.808,0.882,0.799,0.816,0.583,0.945,0.953,0.964
6000,10,0.8573,0.875,0.965,0.811,0.885,0.799,0.798,0.577,0.949,0.952,0.962
6000,15,0.8514,0.87,0.959,0.794,0.884,0.803,0.775,0.582,0.935,0.946,0.966
6000,20,0.8474,0.866,0.954,0.789,0.883,0.797,0.778,0.566,0.937,0.942,0.962
